Item ID,X,Y,Z
BP_BerryBush1104_16897,-32115.0,271715.0,-2280.0
BP_BerryBush1105,88026.6796875,94202.71875,10328.4833984375
BP_BerryBush1106,88700.921875,97220.796875,10233.447265625
BP_BerryBush1107,88687.6953125,102255.5859375,10507.77734375
BP_BerryBush1108,66940.96875,99052.0078125,11671.4580078125
BP_BerryBush1109,90547.875,91091.5,10321.8828125
BP_BerryBush111,-199971.109375,61133.0078125,-780.0862426757812
BP_BerryBush1110,84036.6875,85538.53125,11413.8193359375
BP_BerryBush1111,64000.96875,102402.0078125,11365.09765625
BP_BerryBush1112,77310.453125,79712.78125,12775.5498046875
BP_BerryBush1113_63479,115746.2265625,40290.23828125,12396.19921875
BP_BerryBush1114,119575.6796875,40023.34375,12789.736328125
BP_BerryBush1115,116602.78125,41900.1015625,9875.505859375
BP_BerryBush1116,106574.7890625,39264.8671875,10240.251953125
BP_BerryBush1117,103100.6328125,40104.953125,10167.447265625
BP_BerryBush1118,100988.1015625,36599.74609375,10180.5224609375
BP_BerryBush1119,107637.703125,34119.8984375,10338.4541015625
BP_BerryBush112,-197567.671875,66588.515625,-827.1171264648438
BP_BerryBush1120,111065.1640625,36050.265625,10393.59375
BP_BerryBush1121,104244.59375,44016.078125,10824.416015625
BP_BerryBush1122,106088.5859375,21113.5703125,14082.6474609375
BP_BerryBush1123,105853.3515625,18231.056640625,14417.6337890625
BP_BerryBush1124,124375.890625,-11372.94140625,14574.1806640625
BP_BerryBush1125,123595.25,-6706.06005859375,13725.798828125
BP_BerryBush1126,126167.046875,-9686.0771484375,14523.4755859375
BP_BerryBush1127,123024.234375,-9555.5205078125,14163.0380859375
BP_BerryBush1128,131271.546875,-15881.630859375,12616.5029296875
BP_BerryBush1129,134721.25,-17097.34375,13670.07421875
BP_BerryBush113,-196400.171875,69406.2265625,-715.9854736328125
BP_BerryBush1130,187756.28125,-20407.353515625,10890.478515625
BP_BerryBush1131,189618.796875,-23006.8984375,10197.8544921875
BP_BerryBush1132,190175.15625,-29823.6015625,10252.0498046875
BP_BerryBush1133,187518.640625,-24493.15234375,10102.0966796875
BP_BerryBush1134,185315.640625,-15108.7939453125,9995.77734375
BP_BerryBush1135,188782.703125,11586.3955078125,14233.3408203125
BP_BerryBush1136,189782.546875,17668.23046875,13049.744140625
BP_BerryBush1137,180797.734375,19677.31640625,13315.8193359375
BP_BerryBush1138,178921.78125,17437.849609375,14869.0546875
BP_BerryBush1139,164853.6875,26476.748046875,9634.224609375
BP_BerryBush114,-195234.53125,71022.15625,-715.9793701171875
BP_BerryBush1140,161931.171875,46940.015625,10937.2392578125
BP_BerryBush1141,155543.765625,53011.9296875,10566.166015625
BP_BerryBush1142,149140.046875,57748.0546875,9948.6533203125
BP_BerryBush1143,151485.703125,62419.8046875,10138.8076171875
BP_BerryBush1144,146753.703125,66554.7109375,9596.26171875
BP_BerryBush1145,147247.21875,59993.63671875,10200.8427734375
BP_BerryBush1146,139339.6875,63832.47265625,11006.1845703125
BP_BerryBush1147,135110.484375,75149.2578125,9831.4912109375
BP_BerryBush1148,138943.875,68836.328125,10995.634765625
BP_BerryBush1149,137693.53125,67323.9296875,12523.115234375
BP_BerryBush1150,135543.28125,58636.859375,12086.228515625
BP_BerryBush1151,137775.671875,58490.75390625,12222.0888671875
BP_BerryBush1152,105482.125,-3213.42236328125,14769.4921875
BP_BerryBush1153,140103.046875,52829.94921875,10605.00390625
BP_BerryBush1154,141317.25,45178.75,11202.6962890625
BP_BerryBush1155,141649.953125,42434.828125,11404.0859375
BP_BerryBush1156,146635.6875,38707.32421875,11528.6484375
BP_BerryBush1157,144073.5625,37942.88671875,11466.4052734375
BP_BerryBush1158,144604.40625,28324.564453125,10194.5625
BP_BerryBush1159,144398.375,26798.830078125,10234.716796875
BP_BerryBush115_2,-64275.69921875,125523.65625,13603.609375
BP_BerryBush1160,144166.21875,24993.427734375,10722.6650390625
BP_BerryBush1161,144546.640625,21293.88671875,10982.2236328125
BP_BerryBush1162,144990.078125,19968.029296875,12139.64453125
BP_BerryBush1163,154185.171875,8895.796875,15362.9892578125
BP_BerryBush1164,159457.671875,8491.5625,15661.732421875
BP_BerryBush1165,165098.8125,3600.651123046875,15890.58203125
BP_BerryBush1166,162236.484375,316.7313232421875,15648.236328125
BP_BerryBush1167,164193.46875,-8949.0791015625,15776.41796875
BP_BerryBush1168,171049.046875,-10035.9951171875,15786.41796875
BP_BerryBush1169,174034.328125,-9793.0986328125,12128.33984375
BP_BerryBush116_5,-65720.8671875,123337.015625,13673.0908203125
BP_BerryBush1170,175234.5,-12275.9833984375,10793.5029296875
BP_BerryBush1171,178352.09375,-8932.353515625,10315.4521484375
BP_BerryBush1172,176811.46875,-8695.49609375,11450.455078125
BP_BerryBush1173,178530.828125,-5785.1689453125,11334.38671875
BP_BerryBush1174,178467.71875,-1851.14306640625,11895.9208984375
BP_BerryBush1175,182422.8125,-2088.550048828125,11509.3603515625
BP_BerryBush1176,182093.875,763.2274169921875,11890.3876953125
BP_BerryBush1177,206051.375,254.35198974609375,7509.6103515625
BP_BerryBush1178,204387.234375,-1340.0777587890625,7664.3994140625
BP_BerryBush1179,207723.015625,-6289.384765625,7143.4892578125
BP_BerryBush117_8,-69461.078125,127626.828125,7322.6220703125
BP_BerryBush1180,203409.9375,-6325.64453125,11283.630859375
BP_BerryBush1181,200915.5625,-7615.201171875,11238.30078125
BP_BerryBush1182,201142.125,-10477.2822265625,10738.748046875
BP_BerryBush1183,200443.390625,-11839.109375,9458.283203125
BP_BerryBush1184,203970.828125,-5444.24560546875,8054.99560546875
BP_BerryBush1185,195332.0625,13121.0341796875,10487.4169921875
BP_BerryBush1186_43510,185870.390625,24111.884765625,10506.443359375
BP_BerryBush1187,138657.34375,-12508.44140625,13619.4228515625
BP_BerryBush1188,141598.171875,-13570.1689453125,13577.8369140625
BP_BerryBush1189,137818.59375,-16597.76171875,13329.119140625
BP_BerryBush118_11,-86870.484375,116195.3671875,8262.1845703125
BP_BerryBush1190,140878.046875,-18737.9921875,13637.5146484375
BP_BerryBush1191,140923.40625,-24418.755859375,13725.6142578125
BP_BerryBush1192,141997.390625,-27995.09765625,13837.388671875
BP_BerryBush1193,143498.015625,-25465.3515625,13782.751953125
BP_BerryBush1194,144305.109375,-22872.337890625,13688.8154296875
BP_BerryBush1195,148039.234375,-23389.736328125,13284.53125
BP_BerryBush1196,139478.828125,-20800.287109375,13225.5322265625
BP_BerryBush1197,133790.859375,66858.7421875,9546.9697265625
BP_BerryBush1198,72435.96875,105242.0078125,10511.0068359375
BP_BerryBush1199,75185.96875,109302.0078125,10521.0068359375
BP_BerryBush119_14,-79717.25,137261.46875,-3697.709716796875
BP_BerryBush11_2036,-92710.0,152741.0,-2941.0
BP_BerryBush1200,67390.96875,110762.0078125,10737.59375
BP_BerryBush1201,63990.96875,114577.0078125,10742.59375
BP_BerryBush1202,70070.96875,113587.0078125,10502.333984375
BP_BerryBush1203,65890.96875,114762.0078125,10662.333984375
BP_BerryBush1204,61960.96875,117442.0078125,10548.3583984375
BP_BerryBush1205,59440.96875,114992.0078125,10648.3583984375
BP_BerryBush1206_20850,71715.96875,119122.0078125,9358.197265625
BP_BerryBush1207_21394,72980.96875,132027.0,8118.697265625
BP_BerryBush1208,55880.96875,113477.0078125,11073.591796875
BP_BerryBush1209,54965.96875,109777.0078125,11133.591796875
BP_BerryBush120_17,-87516.8359375,134675.1875,-3672.57958984375
BP_BerryBush1210,48540.96875,110377.0078125,11342.8017578125
BP_BerryBush1211,49030.96875,112862.0078125,11761.0078125
BP_BerryBush1212,54445.96875,117742.0078125,11097.8828125
BP_BerryBush1213,51561.49609375,116559.078125,11748.359375
BP_BerryBush1214,63836.49609375,122329.078125,9940.2158203125
BP_BerryBush1215,83061.5859375,93345.921875,10323.8134765625
BP_BerryBush1216,78281.5859375,95636.921875,11607.546875
BP_BerryBush1217,86725.96875,125052.0,9655.427734375
BP_BerryBush1218,90810.96875,124442.0,10541.1904296875
BP_BerryBush1219,88415.96875,127262.0,10254.9873046875
BP_BerryBush121_20,-86427.0625,123626.96875,-3514.02880859375
BP_BerryBush1220,88570.96875,132262.0,8445.6416015625
BP_BerryBush1221,88265.96875,134542.0,8121.060546875
BP_BerryBush1222,95320.96875,129882.0,9391.060546875
BP_BerryBush1223_26,114767.3125,-41792.8359375,15116.4912109375
BP_BerryBush1224,97165.96875,126712.0,10043.271484375
BP_BerryBush1225_29,117542.0078125,-42785.91015625,14237.763671875
BP_BerryBush1226,102535.96875,125832.0,10118.271484375
BP_BerryBush1227,94720.96875,120037.0,10613.271484375
BP_BerryBush1228,95090.96875,121732.0,10433.4580078125
BP_BerryBush1229,101660.96875,112652.0,10178.4580078125
BP_BerryBush122_23,-93422.3359375,119021.96875,-3814.19091796875
BP_BerryBush1230,106870.96875,121487.0,10228.4580078125
BP_BerryBush1231,111130.96875,118307.0,10052.509765625
BP_BerryBush1232,120870.96875,121012.0,10255.3388671875
BP_BerryBush1233,118945.96875,112892.0,9606.529296875
BP_BerryBush1234,128245.96875,114447.0,10197.927734375
BP_BerryBush1235,130775.96875,124042.0,10312.5068359375
BP_BerryBush1236,133695.96875,116477.0,11033.4580078125
BP_BerryBush1237,139005.96875,115022.0,12706.5166015625
BP_BerryBush1238,123500.96875,107607.0,9782.0380859375
BP_BerryBush1239,104360.96875,101467.0,10254.0244140625
BP_BerryBush123_26,-99757.9609375,130158.0703125,-3719.73828125
BP_BerryBush1240_32,112643.890625,-51232.96484375,9596.5185546875
BP_BerryBush1241,108610.96875,97177.0,9839.3076171875
BP_BerryBush1242,101765.96875,92047.0,10508.4580078125
BP_BerryBush1243,110290.96875,91192.0,9738.517578125
BP_BerryBush1244_17835,-33285.0,271700.0,-2215.0
BP_BerryBush1245,119850.96875,84192.0,10453.4580078125
BP_BerryBush1246,123087.828125,83415.140625,10362.6142578125
BP_BerryBush1247,125805.96875,89867.0,9821.1455078125
BP_BerryBush1248,124770.96875,92707.0,9491.4375
BP_BerryBush1249_35,111786.28125,-44578.046875,8168.2666015625
BP_BerryBush124_29,-71800.828125,143375.53125,-4170.900390625
BP_BerryBush1250,128085.96875,99907.0,9350.05078125
BP_BerryBush1251_38,117549.0078125,-47396.01171875,8684.0
BP_BerryBush1252_41,114161.1796875,-48684.03515625,8938.5205078125
BP_BerryBush1253_18997,-18560.0,268390.0,-2580.45263671875
BP_BerryBush1254_44,117973.28125,-55193.11328125,10717.076171875
BP_BerryBush1255_47,111761.9765625,-61865.28125,9282.1572265625
BP_BerryBush1256_50,105130.8203125,-59174.31640625,9209.822265625
BP_BerryBush1257_19705,-23635.0,269045.0,-2765.0
BP_BerryBush1258_53,98035.8984375,-57702.81640625,8976.9296875
BP_BerryBush1259_56,98507.1796875,-72205.5234375,9499.154296875
BP_BerryBush125_32,-70769.25,146381.765625,-4556.25244140625
BP_BerryBush1260_59,95496.203125,-73363.453125,10043.4541015625
BP_BerryBush1261_20825,-29390.0,257195.0,-2930.0
BP_BerryBush1262_62,94505.9140625,-68188.3046875,9073.1396484375
BP_BerryBush1263_65,99088.40625,-66117.4375,9288.3984375
BP_BerryBush1264_68,104593.9921875,-68446.7109375,8956.2392578125
BP_BerryBush1265_21581,-20160.0,262930.0,-590.0
BP_BerryBush1266_71,103827.9765625,-64689.984375,9462.4970703125
BP_BerryBush1267_74,108660.234375,-68082.609375,9520.330078125
BP_BerryBush1268_77,111041.078125,-74280.5546875,7525.54833984375
BP_BerryBush1269_22521,-17514.9296875,262358.53125,-325.2922668457031
BP_BerryBush126_35,-63745.08203125,155600.203125,-4319.876953125
BP_BerryBush1270_80,111794.0546875,-76509.8515625,7457.48828125
BP_BerryBush1271_83,116956.3046875,-70438.3359375,7458.59228515625
BP_BerryBush1272_86,104940.9453125,-30473.33984375,13900.5283203125
BP_BerryBush1273_23177,-21875.0,259250.0,-660.0
BP_BerryBush1274_23366,-22270.0,257095.0,-1055.0
BP_BerryBush1275_89,107805.7109375,-30793.669921875,13815.59765625
BP_BerryBush1276_92,109847.421875,-28576.69921875,11350.0546875
BP_BerryBush1277_95,111971.609375,-28123.279296875,11363.05078125
BP_BerryBush1278_24428,-18430.0,255625.0,-2160.0
BP_BerryBush1279_98,111502.0859375,-24244.435546875,13457.3759765625
BP_BerryBush127_38,-65194.0390625,160618.640625,-3186.49365234375
BP_BerryBush1280_101,116922.4375,-21104.6640625,14094.3583984375
BP_BerryBush1281_104,113455.4921875,-20547.615234375,13970.1806640625
BP_BerryBush1282_26071,-15125.0,254745.0,-2270.0
BP_BerryBush1283_107,113424.328125,-15670.330078125,14016.931640625
BP_BerryBush1284_110,115211.2578125,-13568.341796875,15534.513671875
BP_BerryBush1285_113,115313.828125,-11049.587890625,15081.5224609375
BP_BerryBush1286_26803,-12550.0,267740.0,-3155.0
BP_BerryBush1287_116,111950.859375,-11586.87109375,15128.7744140625
BP_BerryBush1288_119,119779.921875,-16485.384765625,14112.3115234375
BP_BerryBush1289_122,120171.3984375,-19313.044921875,14299.3974609375
BP_BerryBush128_41,-78561.6796875,145293.140625,-4481.1513671875
BP_BerryBush1290_27511,-8580.0,263800.0,-2970.0
BP_BerryBush1291_125,124707.0,-17736.541015625,14422.078125
BP_BerryBush1292_128,131194.5625,-18466.068359375,9270.2880859375
BP_BerryBush1293_27882,-7060.0,270205.0,-1245.0
BP_BerryBush1294_131,129136.375,-23266.556640625,9161.4609375
BP_BerryBush1295_134,136011.390625,-26540.71484375,9477.4580078125
BP_BerryBush1296_137,139259.734375,-28086.185546875,9381.7041015625
BP_BerryBush1297_140,133437.484375,-32632.345703125,8122.810546875
BP_BerryBush1298_29132,20.0,268695.0,-1650.0
BP_BerryBush1299_143,136001.9375,-37286.796875,8422.7890625
BP_BerryBush129_44,-88333.390625,151497.28125,-4767.84375
BP_BerryBush12_2225,-96959.0,167589.0,-3416.0
BP_BerryBush1300_146,132771.921875,-37818.734375,8109.81640625
BP_BerryBush1301_149,129937.953125,-38990.16015625,8129.7421875
BP_BerryBush1302_152,126134.1875,-37330.86328125,8031.9736328125
BP_BerryBush1303_30589,-6010.0,259875.0,-2485.0
BP_BerryBush1304_155,125221.9453125,-41714.8359375,8270.1630859375
BP_BerryBush1305_158,122266.140625,-37822.671875,8076.07470703125
BP_BerryBush1306_31000,-7530.0,291280.0,-1090.0
BP_BerryBush1307_161,117547.5625,-36051.15625,8219.30078125
BP_BerryBush1308_164,112997.71875,-32829.1796875,8664.7900390625
BP_BerryBush1309_167,101493.0,-13721.23046875,11106.80078125
BP_BerryBush130_47,-96320.140625,165973.9375,-3714.126220703125
BP_BerryBush1310_170,107071.859375,-8389.609375,11774.2099609375
BP_BerryBush1311_173,112836.3984375,-556.0440673828125,11164.36328125
BP_BerryBush1312_176,113098.65625,-8885.1220703125,10705.6640625
BP_BerryBush1313_32586,-3545.0,287650.0,-1135.0
BP_BerryBush1314_179,106058.5234375,-5499.10498046875,11426.0400390625
BP_BerryBush1315_182,106252.0078125,-17364.130859375,11440.68359375
BP_BerryBush1316_185,99991.5390625,-19632.685546875,10198.2685546875
BP_BerryBush1317_188,100845.7109375,-22433.150390625,10175.416015625
BP_BerryBush1318_191,108278.4375,-15630.626953125,12399.9365234375
BP_BerryBush1319_33670,-5855.0,295050.0,-1540.0
BP_BerryBush131_50,-91268.203125,166815.0625,-3534.765380859375
BP_BerryBush1320_194,106967.6953125,-20510.6015625,12857.4912109375
BP_BerryBush1321_197,111688.90625,-15992.6650390625,13837.8876953125
BP_BerryBush1322_8,-237655.140625,62974.34375,110.26947021484375
BP_BerryBush1323_11,-238037.703125,62618.00390625,27.13299560546875
BP_BerryBush1324_34467,19985.0,289900.0,405.0
BP_BerryBush1325_14,-237457.59375,63504.11328125,-713.776123046875
BP_BerryBush1326_17,-234697.28125,57224.13671875,-932.2373046875
BP_BerryBush1327_20,-229314.828125,55553.234375,-1620.0770263671875
BP_BerryBush1328_23,-221699.140625,65927.25,-738.2189331054688
BP_BerryBush1329_26,-226714.46875,75819.5078125,-1568.652099609375
BP_BerryBush132_53,-115931.203125,155952.921875,769.5499267578125
BP_BerryBush1330_29,-233182.546875,97093.515625,-1319.641357421875
BP_BerryBush1331_32,-235426.5625,102647.234375,-737.329833984375
BP_BerryBush1332_37,-232517.90625,106592.1328125,-1313.1005859375
BP_BerryBush1333_36186,33310.0,285715.0,815.0
BP_BerryBush1334_40,-227298.78125,104546.8828125,-1399.8905029296875
BP_BerryBush1335_43,-230835.09375,101549.3671875,-748.4274291992188
BP_BerryBush1336_48,-223262.0,109597.96875,-1401.5654296875
BP_BerryBush1337_36748,32605.0,282165.0,505.0
BP_BerryBush1338_51,-218191.265625,112517.8359375,-1274.2744140625
BP_BerryBush1339_54,-214427.6875,114624.8359375,-1166.5919189453125
BP_BerryBush133_56,-111834.34375,153593.3125,887.19482421875
BP_BerryBush1340_57,-214605.578125,109913.9296875,-1573.5345458984375
BP_BerryBush1341_39887,26850.0,274180.0,-490.0
BP_BerryBush1342_60,-218820.25,120063.96875,-1364.3319091796875
BP_BerryBush1343_63,-217867.84375,128189.34375,-1326.92333984375
BP_BerryBush1344_66,-214495.921875,131210.3125,-1343.7559814453125
BP_BerryBush1345_38192,38030.0,270595.0,-660.0
BP_BerryBush1346_69,-209700.453125,129625.734375,-1325.7408447265625
BP_BerryBush1347_72,-210340.515625,136361.3125,-1473.9984130859375
BP_BerryBush1348_75,-209080.75,141659.78125,-1509.24365234375
BP_BerryBush1349_40714,20685.0,276665.0,-450.0
BP_BerryBush134_59,-111796.3515625,150825.109375,1431.2998046875
BP_BerryBush1350_78,-254714.84375,113043.9765625,-1215.835205078125
BP_BerryBush1351_81,-258895.71875,114104.9140625,-1397.51806640625
BP_BerryBush1352_84,-263581.6875,110904.390625,-1239.053955078125
BP_BerryBush1353_41412,16700.0,277055.0,-1930.0
BP_BerryBush1354_87,-269517.8125,107642.1640625,-1241.409423828125
BP_BerryBush1355_90,-264212.0625,96043.78125,-1341.1634521484375
BP_BerryBush1356_93,-269833.59375,98212.265625,-1226.3072509765625
BP_BerryBush1357_96,-265108.875,87294.765625,-1631.77685546875
BP_BerryBush1358_42207,-71025.0,299950.0,-5625.0
BP_BerryBush1359_99,-267461.0,82504.8203125,-605.7783813476562
BP_BerryBush135_62,-124305.3046875,150960.4375,654.2189331054688
BP_BerryBush1360_102,-268164.46875,79580.15625,-959.046142578125
BP_BerryBush1361_105,-268174.53125,69807.7421875,-1316.75048828125
BP_BerryBush1362_42877,-72270.0,299645.0,-5575.0
BP_BerryBush1363_108,-262884.125,65811.3359375,-917.3344116210938
BP_BerryBush1364_111,-256382.09375,74469.4453125,-879.455322265625
BP_BerryBush1365_114,-260196.03125,68607.5,-1037.8408203125
BP_BerryBush1366_43612,-75775.0,296710.0,-4920.0
BP_BerryBush1367,9492.796875,284716.875,-433.49267578125
BP_BerryBush1368,11695.6904296875,285579.28125,97.6065673828125
BP_BerryBush1369,20216.439453125,284920.65625,-43.700233459472656
BP_BerryBush136_65,-122028.4296875,152198.03125,600.9707641601562
BP_BerryBush1370_44320,-71610.0,292715.0,-4205.0
BP_BerryBush1371,25457.478515625,292132.25,115.44747924804688
BP_BerryBush1372,17816.27734375,292838.28125,143.19363403320312
BP_BerryBush1373,12371.8955078125,295984.125,91.88845825195312
BP_BerryBush1374_44922,-79915.0,291860.0,-4920.0
BP_BerryBush1375,13051.802734375,293599.28125,1038.883056640625
BP_BerryBush1376,14364.470703125,291611.25,1126.73388671875
BP_BerryBush1377,7130.8623046875,296832.84375,34.9534912109375
BP_BerryBush1378_45568,-90025.0,285415.0,-4635.0
BP_BerryBush1379,-74.78280639648438,296497.75,24.93023681640625
BP_BerryBush137_68,-123263.140625,150210.53125,662.7438354492188
BP_BerryBush1380,-1205.9332275390625,295003.3125,77.34039306640625
BP_BerryBush1381,-5501.62744140625,290501.1875,39.26763916015625
BP_BerryBush1382_46232,-83745.0,285875.0,-3645.0
BP_BerryBush1383,-14985.3837890625,301338.9375,-2142.541748046875
BP_BerryBush1384,-15524.595703125,304888.375,-3765.0947265625
BP_BerryBush1385,-15244.4296875,306142.21875,-3784.990234375
BP_BerryBush1386_46780,-70900.0,292875.0,-2525.0
BP_BerryBush1387,-14532.5068359375,305205.53125,-3677.328857421875
